kode_mk,nama_mk,minggu,materi,pustaka_tersedia,bab
TSI1107,Agama,1/16,"Tujuan pendidikan agama, fungsi membangun kepribadian humanis","P1 = Al-Qur'an dan Terjemahnya (Kementerian Agama RI) / Kitab Suc | P2 = Tim Dosen Agama ITEKES Bintang Persada. (2026). Buku Ajar Pe | P3 = Rahardjo, M. D. (2012). Pendidikan agama Islam di perguruan  | P4 = Azra, A. (2015). Pendidikan agama dan pluralisme. Kencana. | P5 = Shihab, M. Q. (2017). Wawasan Al-Qur'an. Mizan. | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI1107,Agama,2/16,"Filsafat ketuhanan, nilai-nilai ketuhanan","P1 = Al-Qur'an dan Terjemahnya (Kementerian Agama RI) / Kitab Suc | P2 = Tim Dosen Agama ITEKES Bintang Persada. (2026). Buku Ajar Pe | P3 = Rahardjo, M. D. (2012). Pendidikan agama Islam di perguruan  | P4 = Azra, A. (2015). Pendidikan agama dan pluralisme. Kencana. | P5 = Shihab, M. Q. (2017). Wawasan Al-Qur'an. Mizan. | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI1107,Agama,3/16,"Implementasi nilai ketuhanan dalam keluarga, masyarakat, dan pekerjaan","P1 = Al-Qur'an dan Terjemahnya (Kementerian Agama RI) / Kitab Suc | P2 = Tim Dosen Agama ITEKES Bintang Persada. (2026). Buku Ajar Pe | P3 = Rahardjo, M. D. (2012). Pendidikan agama Islam di perguruan  | P4 = Azra, A. (2015). Pendidikan agama dan pluralisme. Kencana. | P5 = Shihab, M. Q. (2017). Wawasan Al-Qur'an. Mizan. | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI1107,Agama,4/16,"Moral, akhlak, etika, integritas, tanggung jawab","P1 = Al-Qur'an dan Terjemahnya (Kementerian Agama RI) / Kitab Suc | P2 = Tim Dosen Agama ITEKES Bintang Persada. (2026). Buku Ajar Pe | P3 = Rahardjo, M. D. (2012). Pendidikan agama Islam di perguruan  | P4 = Azra, A. (2015). Pendidikan agama dan pluralisme. Kencana. | P5 = Shihab, M. Q. (2017). Wawasan Al-Qur'an. Mizan. | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI1107,Agama,5/16,"Tanggung jawab kepada Tuhan, diri sendiri, sesama, dan lingkungan","P1 = Al-Qur'an dan Terjemahnya (Kementerian Agama RI) / Kitab Suc | P2 = Tim Dosen Agama ITEKES Bintang Persada. (2026). Buku Ajar Pe | P3 = Rahardjo, M. D. (2012). Pendidikan agama Islam di perguruan  | P4 = Azra, A. (2015). Pendidikan agama dan pluralisme. Kencana. | P5 = Shihab, M. Q. (2017). Wawasan Al-Qur'an. Mizan. | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI1107,Agama,6/16,"Kerukunan, toleransi, dialog antar iman, pencegahan radikalisme","P1 = Al-Qur'an dan Terjemahnya (Kementerian Agama RI) / Kitab Suc | P2 = Tim Dosen Agama ITEKES Bintang Persada. (2026). Buku Ajar Pe | P3 = Rahardjo, M. D. (2012). Pendidikan agama Islam di perguruan  | P4 = Azra, A. (2015). Pendidikan agama dan pluralisme. Kencana. | P5 = Shihab, M. Q. (2017). Wawasan Al-Qur'an. Mizan. | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI1107,Agama,7/16,"HAM, kebebasan beragama, perlindungan minoritas","P1 = Al-Qur'an dan Terjemahnya (Kementerian Agama RI) / Kitab Suc | P2 = Tim Dosen Agama ITEKES Bintang Persada. (2026). Buku Ajar Pe | P3 = Rahardjo, M. D. (2012). Pendidikan agama Islam di perguruan  | P4 = Azra, A. (2015). Pendidikan agama dan pluralisme. Kencana. | P5 = Shihab, M. Q. (2017). Wawasan Al-Qur'an. Mizan. | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI1107,Agama,8/16,Materi Minggu 1–7,"P1 = Al-Qur'an dan Terjemahnya (Kementerian Agama RI) / Kitab Suc | P2 = Tim Dosen Agama ITEKES Bintang Persada. (2026). Buku Ajar Pe | P3 = Rahardjo, M. D. (2012). Pendidikan agama Islam di perguruan  | P4 = Azra, A. (2015). Pendidikan agama dan pluralisme. Kencana. | P5 = Shihab, M. Q. (2017). Wawasan Al-Qur'an. Mizan. | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI1107,Agama,9/16,"Budaya akademik, disiplin, integritas, etos kerja produktif","P1 = Al-Qur'an dan Terjemahnya (Kementerian Agama RI) / Kitab Suc | P2 = Tim Dosen Agama ITEKES Bintang Persada. (2026). Buku Ajar Pe | P3 = Rahardjo, M. D. (2012). Pendidikan agama Islam di perguruan  | P4 = Azra, A. (2015). Pendidikan agama dan pluralisme. Kencana. | P5 = Shihab, M. Q. (2017). Wawasan Al-Qur'an. Mizan. | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI1107,Agama,10/16,"Sikap terbuka, kritis, anti plagiarisme, etika akademik","P1 = Al-Qur'an dan Terjemahnya (Kementerian Agama RI) / Kitab Suc | P2 = Tim Dosen Agama ITEKES Bintang Persada. (2026). Buku Ajar Pe | P3 = Rahardjo, M. D. (2012). Pendidikan agama Islam di perguruan  | P4 = Azra, A. (2015). Pendidikan agama dan pluralisme. Kencana. | P5 = Shihab, M. Q. (2017). Wawasan Al-Qur'an. Mizan. | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
